#--- Experiment --------------------------------------------------------------------------
#Ostracods-trial7-dark-newbox-1
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com
#AHALVONIK-PC
#--- Instrument --------------------------------------------------------------------------
#Device: FireSting-PRO [A] FSPRO-4 SN:24100008 UiD:2411E50859672118 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.2] - Oxygen Sensor - SC7-523-205 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	20% (C)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	27.250000
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)
#	11/14/2025	12/31/2000	20.837	52.300	0.804000	0.096000	4000	-0.082000	0.969000	0.584000	0.000000	-0.000006	0.000000	0.000000	fixed f	1010.092	26.639	100.000	20.000	20.950000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Pressure Compensation Channel -------------------------------------------------------
#Compensation Channel [A P1] - Internal Pressure Sensor
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]
17-11-2025	19:00:45.235	113.912	190.780	22.190	393	0	OK	17-11-2025	19:00:45.235	113.912	26.220	OK	17-11-2025	19:00:45.235	113.912	1013	OK
17-11-2025	19:00:50.234	118.911	190.706	22.194	393	0	OK	17-11-2025	19:00:50.234	118.911	26.221	OK	17-11-2025	19:00:50.234	118.911	1013	OK
17-11-2025	19:00:55.235	123.912	190.648	22.197	394	0	OK	17-11-2025	19:00:55.235	123.912	26.222	OK	17-11-2025	19:00:55.235	123.912	1013	OK
17-11-2025	19:01:00.237	128.914	190.571	22.202	394	0	OK	17-11-2025	19:01:00.237	128.914	26.220	OK	17-11-2025	19:01:00.237	128.914	1013	OK
17-11-2025	19:01:05.235	133.912	190.614	22.199	393	0	OK	17-11-2025	19:01:05.235	133.912	26.222	OK	17-11-2025	19:01:05.235	133.912	1012	OK
17-11-2025	19:01:10.235	138.912	190.496	22.206	394	0	OK	17-11-2025	19:01:10.235	138.912	26.221	OK	17-11-2025	19:01:10.235	138.912	1013	OK
17-11-2025	19:01:15.237	143.914	190.544	22.203	394	0	OK	17-11-2025	19:01:15.237	143.914	26.222	OK	17-11-2025	19:01:15.237	143.914	1013	OK
17-11-2025	19:01:20.239	148.916	190.579	22.201	394	0	OK	17-11-2025	19:01:20.239	148.916	26.222	OK	17-11-2025	19:01:20.239	148.916	1013	OK
17-11-2025	19:01:25.238	153.915	190.270	22.219	394	0	OK	17-11-2025	19:01:25.238	153.915	26.221	OK	17-11-2025	19:01:25.238	153.915	1013	OK
17-11-2025	19:01:30.235	158.912	190.414	22.211	393	0	OK	17-11-2025	19:01:30.235	158.912	26.220	OK	17-11-2025	19:01:30.235	158.912	1013	OK
17-11-2025	19:01:35.239	163.915	190.427	22.210	394	0	OK	17-11-2025	19:01:35.239	163.915	26.221	OK	17-11-2025	19:01:35.239	163.915	1013	OK
17-11-2025	19:01:40.238	168.915	190.286	22.217	394	0	OK	17-11-2025	19:01:40.238	168.915	26.225	OK	17-11-2025	19:01:40.238	168.915	1013	OK
17-11-2025	19:01:45.237	173.914	190.191	22.223	394	0	OK	17-11-2025	19:01:45.237	173.914	26.223	OK	17-11-2025	19:01:45.237	173.914	1013	OK
17-11-2025	19:01:50.238	178.915	190.208	22.222	394	0	OK	17-11-2025	19:01:50.238	178.915	26.223	OK	17-11-2025	19:01:50.238	178.915	1013	OK
17-11-2025	19:01:55.238	183.915	190.030	22.232	394	0	OK	17-11-2025	19:01:55.238	183.915	26.224	OK	17-11-2025	19:01:55.238	183.915	1013	OK
17-11-2025	19:02:00.240	188.916	190.022	22.233	394	0	OK	17-11-2025	19:02:00.240	188.916	26.222	OK	17-11-2025	19:02:00.240	188.916	1013	OK
17-11-2025	19:02:05.238	193.914	190.074	22.230	394	0	OK	17-11-2025	19:02:05.238	193.914	26.222	OK	17-11-2025	19:02:05.238	193.914	1013	OK
17-11-2025	19:02:10.238	198.914	190.208	22.222	394	0	OK	17-11-2025	19:02:10.238	198.914	26.223	OK	17-11-2025	19:02:10.238	198.914	1013	OK
17-11-2025	19:02:15.240	203.917	189.869	22.241	394	0	OK	17-11-2025	19:02:15.240	203.917	26.225	OK	17-11-2025	19:02:15.240	203.917	1012	OK
17-11-2025	19:02:20.241	208.917	189.837	22.242	394	0	OK	17-11-2025	19:02:20.241	208.917	26.228	OK	17-11-2025	19:02:20.241	208.917	1013	OK
17-11-2025	19:02:25.240	213.916	189.809	22.245	394	0	OK	17-11-2025	19:02:25.240	213.916	26.223	OK	17-11-2025	19:02:25.240	213.916	1013	OK
17-11-2025	19:02:30.236	218.913	189.735	22.249	394	0	OK	17-11-2025	19:02:30.236	218.913	26.224	OK	17-11-2025	19:02:30.236	218.913	1013	OK
17-11-2025	19:02:35.240	223.917	189.387	22.268	394	0	OK	17-11-2025	19:02:35.240	223.917	26.228	OK	17-11-2025	19:02:35.240	223.917	1013	OK
17-11-2025	19:02:40.241	228.917	189.488	22.263	394	0	OK	17-11-2025	19:02:40.241	228.917	26.225	OK	17-11-2025	19:02:40.241	228.917	1013	OK
17-11-2025	19:02:45.241	233.918	189.404	22.267	394	0	OK	17-11-2025	19:02:45.241	233.918	26.228	OK	17-11-2025	19:02:45.241	233.918	1013	OK
17-11-2025	19:02:50.239	238.916	189.340	22.271	394	0	OK	17-11-2025	19:02:50.239	238.916	26.227	OK	17-11-2025	19:02:50.239	238.916	1013	OK
17-11-2025	19:02:55.241	243.917	189.374	22.269	394	0	OK	17-11-2025	19:02:55.241	243.917	26.227	OK	17-11-2025	19:02:55.241	243.917	1013	OK
17-11-2025	19:03:00.240	248.917	189.473	22.263	394	0	OK	17-11-2025	19:03:00.240	248.917	26.228	OK	17-11-2025	19:03:00.240	248.917	1013	OK
17-11-2025	19:03:05.251	253.927	189.399	22.267	394	0	OK	17-11-2025	19:03:05.251	253.927	26.229	OK	17-11-2025	19:03:05.251	253.927	1013	OK
17-11-2025	19:03:10.239	258.915	189.340	22.271	394	0	OK	17-11-2025	19:03:10.239	258.915	26.227	OK	17-11-2025	19:03:10.239	258.915	1013	OK
17-11-2025	19:03:15.240	263.916	189.522	22.261	394	0	OK	17-11-2025	19:03:15.240	263.916	26.225	OK	17-11-2025	19:03:15.240	263.916	1013	OK
17-11-2025	19:03:20.238	268.915	189.401	22.268	394	0	OK	17-11-2025	19:03:20.238	268.915	26.225	OK	17-11-2025	19:03:20.238	268.915	1013	OK
17-11-2025	19:03:25.241	273.918	189.132	22.283	394	0	OK	17-11-2025	19:03:25.241	273.918	26.227	OK	17-11-2025	19:03:25.241	273.918	1013	OK
17-11-2025	19:03:30.239	278.916	189.283	22.274	394	0	OK	17-11-2025	19:03:30.239	278.916	26.228	OK	17-11-2025	19:03:30.239	278.916	1013	OK
17-11-2025	19:03:35.240	283.917	189.080	22.286	394	0	OK	17-11-2025	19:03:35.240	283.917	26.227	OK	17-11-2025	19:03:35.240	283.917	1013	OK
17-11-2025	19:03:40.239	288.916	189.189	22.280	394	0	OK	17-11-2025	19:03:40.239	288.916	26.226	OK	17-11-2025	19:03:40.239	288.916	1013	OK
17-11-2025	19:03:45.240	293.917	189.041	22.288	394	0	OK	17-11-2025	19:03:45.240	293.917	26.228	OK	17-11-2025	19:03:45.240	293.917	1013	OK
17-11-2025	19:03:50.394	299.070	189.115	22.284	394	0	OK	17-11-2025	19:03:50.394	299.070	26.227	OK	17-11-2025	19:03:50.394	299.070	1013	OK
17-11-2025	19:03:55.396	304.073	189.007	22.290	394	0	OK	17-11-2025	19:03:55.396	304.073	26.228	OK	17-11-2025	19:03:55.396	304.073	1013	OK
17-11-2025	19:04:00.394	309.071	189.046	22.288	394	0	OK	17-11-2025	19:04:00.394	309.071	26.227	OK	17-11-2025	19:04:00.394	309.071	1013	OK
17-11-2025	19:04:05.322	313.999	189.051	22.288	394	0	OK	17-11-2025	19:04:05.322	313.999	26.226	OK	17-11-2025	19:04:05.322	313.999	1013	OK
17-11-2025	19:04:10.323	318.999	188.718	22.307	394	0	OK	17-11-2025	19:04:10.323	318.999	26.227	OK	17-11-2025	19:04:10.323	318.999	1013	OK
17-11-2025	19:04:15.322	323.998	188.667	22.310	394	0	OK	17-11-2025	19:04:15.322	323.998	26.227	OK	17-11-2025	19:04:15.322	323.998	1013	OK
17-11-2025	19:04:20.323	328.999	188.768	22.303	394	0	OK	17-11-2025	19:04:20.323	328.999	26.231	OK	17-11-2025	19:04:20.323	328.999	1013	OK
