trial,brick,file,channel,uL_mg_hr,temp_C,vessel,date,environment,notes
trial4.5,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial4-light.csv,Ch3,0.584481165782046,26.728,small,14Nov2025,day,Same animals as trial4
trial4.5,box2,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box2-trial4-light.csv,Ch4,1.45055757469628,26.728,small,14Nov2025,day,Same animals as trial4
trial5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial5.csv,Ch2,1.80295423616982,26.568,small,14Nov2025,night,
trial5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial5.csv,Ch3,1.28574171481797,26.568,small,14Nov2025,night,
trial5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/box3-trial5.csv,Ch4,0.715764400989664,26.568,small,14Nov2025,night,
trial5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial5.csv,Ch2,1.74208654673276,25.773,small,14Nov2025,night,
trial5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial5.csv,Ch3,2.11411910515474,25.773,small,14Nov2025,night,
trial5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial5.csv,Ch4,2.54436071864295,25.773,small,14Nov2025,night,
trial5.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial5-light.csv,Ch2,0.703889890599756,26.004,small,15Nov2025,day,Same animals as trial5
trial5.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial5-light.csv,Ch3,1.35149690157045,26.004,small,15Nov2025,day,Same animals as trial5
trial5.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/newpyro-trial5-light.csv,Ch4,2.84191920859468,26.004,small,15Nov2025,day,Same animals as trial5
trial6,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-light-newbox-.csv,Ch2,1.48077700345012,25.551,small,16Nov2025,day,Ch1 serves as control for both box3 and newbox
trial6,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-light-newbox-.csv,Ch3,0.924523586237085,25.551,small,16Nov2025,day,Ch1 serves as control for both box3 and newbox
trial6,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-light-newbox-.csv,Ch4,1.26331544508724,25.551,small,16Nov2025,day,Ch1 serves as control for both box3 and newbox
trial6.5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-dark-box3-16Nov.csv,Ch2,0.0167753648537621,25.716,small,16Nov2025,night,Ch1 serves as control for both box3 and newbox
trial6.5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-dark-box3-16Nov.csv,Ch3,-2.27173962168704,25.716,small,16Nov2025,night,Ch1 serves as control for both box3 and newbox
trial6.5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-dark-box3-16Nov.csv,Ch4,-2.27173962168704,25.716,small,16Nov2025,night,Ch1 serves as control for both box3 and newbox
trial6.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-dark-newbox-1.csv,Ch2,2.59107019061785,25.838,small,16Nov2025,night,Same animals as trial6; Ch1 serves as control for both box3 and newbox
trial6.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-dark-newbox-1.csv,Ch3,1.43143554000296,25.838,small,16Nov2025,night,Same animals as trial6; Ch1 serves as control for both box3 and newbox
trial6.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial6-dark-newbox-1.csv,Ch4,1.92097914096243,25.838,small,16Nov2025,night,Same animals as trial6; Ch1 serves as control for both box3 and newbox
trial7,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-light-newbox-.csv,Ch2,1.99035732133884,25.734,small,17Nov2025,day,Ch1 serves as control for both box3 and newbox
trial7,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-light-newbox-.csv,Ch3,1.21602180531078,25.734,small,17Nov2025,day,Ch1 serves as control for both box3 and newbox
trial7,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-light-newbox-.csv,Ch4,1.12888653859003,25.734,small,17Nov2025,day,Ch1 serves as control for both box3 and newbox
trial7,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-light-box3-17Nov.csv,Ch2,0.143967854277277,25.873,small,17Nov2025,day,Ch1 serves as control for both box3 and newbox
trial7,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-light-box3-17Nov.csv,Ch3,0.358965011603193,25.873,small,17Nov2025,day,Ch1 serves as control for both box3 and newbox
trial7,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-light-box3-17Nov.csv,Ch4,-1.37699293768895,25.873,small,17Nov2025,day,Ch1 serves as control for both box3 and newbox
trial7.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-dark-newbox-1.csv,Ch2,3.7677860801706,26.55,small,17Nov2025,night,Same animals as trial7; Ch1 serves as control for both box3 and newbox
trial7.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-dark-newbox-1.csv,Ch3,3.06975471293742,26.55,small,17Nov2025,night,Same animals as trial7; Ch1 serves as control for both box3 and newbox
trial7.5,newbox,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-dark-newbox-1.csv,Ch4,2.5853464175289,26.55,small,17Nov2025,night,Same animals as trial7; Ch1 serves as control for both box3 and newbox
trial7.5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-dark-box3-17Nov.csv,Ch2,-0.243931158774252,26.417,small,17Nov2025,night,Same animals as trial7; Ch1 serves as control for both box3 and newbox
trial7.5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-dark-box3-17Nov.csv,Ch3,-0.213222740105952,26.417,small,17Nov2025,night,Same animals as trial7; Ch1 serves as control for both box3 and newbox
trial7.5,box3,/Users/oakley/Documents/GitHub/signal_respirometry/data/adriana_final_r/Ostracods-trial7-dark-box3-17Nov.csv,Ch4,-1.74663269135322,26.417,small,17Nov2025,night,Same animals as trial7; Ch1 serves as control for both box3 and newbox
