frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h,track_id
85,2550.0,right,1434.0,385.0,2.0,1433,384,3,3,120
85,2550.0,right,1396.5,103.0,8.0,1394,102,6,3,121
85,2550.0,right,1397.0,95.0,2.0,1396,94,3,3,122
85,2550.0,right,1390.8,97.4,10.0,1389,94,5,8,123
85,2550.0,right,1394.0,90.0,2.0,1393,89,3,3,124
86,2580.0,right,1424.37,876.5,24.5,1420,874,9,8,125
86,2580.0,right,1407.14,896.47,38.0,1406,887,4,19,129
86,2580.0,right,1427.05,854.32,79.5,1421,849,14,12,132
86,2580.0,right,1475.0,870.33,13.0,1472,869,7,4,133
87,2610.0,right,1383.0,461.17,12.0,1382,457,3,10,135
87,2610.0,right,1426.55,853.59,35.0,1423,850,9,8,132
87,2610.0,right,1475.28,870.41,11.5,1473,869,6,4,133
87,2610.0,right,1407.0,900.0,14.0,1406,896,3,9,129
88,2640.0,right,1466.1,399.18,156.5,1459,388,16,27,137
88,2640.0,left,765.7,274.3,5.5,764,273,4,4,139
88,2640.0,left,776.63,451.15,10.0,775,449,5,5,140
88,2640.0,right,1499.0,698.0,2.0,1498,697,3,3,144
88,2640.0,right,1503.0,699.0,2.0,1502,698,3,3,145
88,2640.0,right,1431.0,627.0,2.0,1430,626,3,3,146
88,2640.0,right,1380.0,514.0,2.0,1379,513,3,3,148
88,2640.0,right,1383.0,460.0,2.0,1382,459,3,3,135
89,2670.0,left,786.38,421.09,34.0,783,414,8,15,150
89,2670.0,right,1463.22,409.99,51.0,1460,403,7,19,151
89,2670.0,right,1461.86,395.6,20.0,1459,390,8,12,137
89,2670.0,right,1470.92,395.29,52.5,1466,388,9,14,152
89,2670.0,left,766.19,275.0,7.0,765,273,4,5,139
89,2670.0,left,777.0,451.0,2.0,776,450,3,3,140
89,2670.0,right,1428.0,885.0,2.0,1427,884,3,3,158
89,2670.0,right,1487.5,708.0,4.0,1486,707,4,3,159
89,2670.0,right,1467.76,892.07,22.5,1464,889,10,6,160
89,2670.0,right,1490.72,689.67,29.5,1485,687,10,8,161
89,2670.0,right,1439.32,688.56,10.5,1437,686,5,6,162
89,2670.0,left,793.6,534.45,20.0,791,530,6,10,166
89,2670.0,right,1481.5,691.5,4.0,1480,690,4,4,167
90,2700.0,right,1471.5,390.5,4.0,1470,389,4,4,152
90,2700.0,right,1406.5,9.0,4.0,1405,8,4,3,169
90,2700.0,right,1470.57,397.89,14.5,1468,395,6,6,170
90,2700.0,right,1462.63,408.16,16.5,1461,405,4,8,151
90,2700.0,left,796.17,516.47,15.0,794,512,5,10,171
90,2700.0,right,1465.0,419.5,4.0,1464,418,3,4,172
90,2700.0,left,786.1,420.9,20.0,784,415,7,14,150
90,2700.0,left,793.0,533.5,12.0,791,530,5,8,166
90,2700.0,left,786.23,462.77,14.5,784,460,5,7,173
91,2730.0,left,724.65,397.68,13.5,723,395,4,7,175
91,2730.0,left,794.0,452.0,6.0,793,450,3,5,177
91,2730.0,left,786.3,462.21,10.5,785,460,4,6,173
91,2730.0,left,743.5,561.0,4.0,742,560,4,3,181
91,2730.0,left,796.0,516.0,2.0,795,515,3,3,171
91,2730.0,left,741.5,488.0,7.0,740,486,4,5,183
91,2730.0,right,1476.0,576.0,10.0,1475,573,3,7,184
92,2760.0,left,742.0,489.0,2.0,741,488,3,3,183
92,2760.0,right,1452.94,655.0,16.0,1447,653,11,5,185
92,2760.0,left,724.33,397.67,6.0,723,395,4,7,175
93,2790.0,right,1356.93,74.07,14.0,1354,71,6,7,186
93,2790.0,middle,1037.0,177.0,6.0,1035,176,5,3,187
93,2790.0,right,1380.14,331.39,17.5,1378,327,5,9,188
93,2790.0,middle,1063.73,575.0,30.0,1062,567,4,17,190
94,2820.0,right,1510.09,267.69,41.5,1505,262,11,11,191
94,2820.0,middle,1039.5,236.5,4.0,1038,235,4,4,193
94,2820.0,middle,1063.78,575.56,18.0,1062,569,4,13,190
94,2820.0,right,1459.8,851.79,33.5,1457,847,6,10,196
94,2820.0,right,1486.25,912.45,11.5,1482,910,9,6,197
95,2850.0,right,1507.75,269.86,13.5,1505,268,7,5,191
95,2850.0,right,1512.5,264.0,7.0,1511,262,4,5,199
95,2850.0,right,1459.8,852.08,26.0,1458,848,5,9,196
95,2850.0,right,1488.5,913.5,4.0,1487,912,4,4,197
96,2880.0,middle,1085.33,240.33,20.5,1083,236,6,9,200
96,2880.0,middle,1104.22,231.24,7.5,1103,229,4,5,201
96,2880.0,middle,1089.0,227.67,6.0,1087,226,5,4,202
96,2880.0,right,1479.0,86.0,2.0,1478,85,3,3,203
96,2880.0,middle,1118.75,382.65,12.5,1117,380,4,7,204
96,2880.0,middle,1102.0,386.0,2.0,1101,385,3,3,205
96,2880.0,right,1493.29,562.84,11.5,1491,561,5,5,207
96,2880.0,middle,1077.25,821.65,12.5,1076,819,4,7,208
97,2910.0,middle,1119.0,383.5,4.0,1118,382,3,4,204
97,2910.0,middle,1102.0,386.0,2.0,1101,385,3,3,205
97,2910.0,middle,1104.0,231.0,2.0,1103,230,3,3,201
97,2910.0,middle,1087.45,230.06,11.5,1085,227,6,8,202
97,2910.0,middle,1085.21,240.54,13.0,1083,237,5,8,200
97,2910.0,right,1448.0,836.5,4.0,1447,835,3,4,214
97,2910.0,right,1463.21,557.0,225.0,1458,532,13,57,215
97,2910.0,right,1445.0,856.25,8.0,1444,853,3,7,216
97,2910.0,middle,1077.0,822.5,8.0,1076,820,3,6,208
97,2910.0,middle,1015.0,729.0,2.0,1014,728,3,3,217
97,2910.0,middle,1015.5,718.5,4.0,1014,717,4,4,218
97,2910.0,right,1444.0,689.5,16.0,1441,688,7,4,219
97,2910.0,middle,1013.15,639.25,12.5,1011,637,5,6,220
97,2910.0,middle,1006.0,633.0,14.0,1005,629,3,9,221
97,2910.0,right,1470.5,596.5,20.0,1469,590,4,14,222
97,2910.0,right,1429.5,679.81,16.0,1426,678,8,5,223
98,2940.0,right,1450.0,418.5,4.0,1449,417,3,4,224
98,2940.0,right,1464.2,534.86,18.0,1462,532,5,7,225
98,2940.0,right,1470.0,592.5,4.0,1469,591,3,4,222
98,2940.0,right,1463.69,569.48,83.0,1458,558,13,31,226
98,2940.0,right,1471.0,599.5,4.0,1470,598,3,4,227
98,2940.0,middle,1006.0,632.5,4.0,1005,630,3,6,221
98,2940.0,middle,1013.04,639.22,8.5,1011,637,5,5,220
98,2940.0,right,1431.0,680.0,2.0,1430,679,3,3,223
98,2940.0,right,1445.0,689.0,6.0,1443,688,5,3,219
98,2940.0,right,1433.0,694.0,2.0,1432,693,3,3,228
98,2940.0,right,1463.06,546.75,61.0,1459,539,8,16,229
99,2970.0,right,1463.59,542.72,11.5,1462,540,4,6,229
99,2970.0,right,1464.22,534.76,7.5,1463,533,4,5,225
99,2970.0,right,1462.63,566.14,19.5,1460,561,6,11,226
99,2970.0,right,1466.0,575.0,6.0,1465,573,3,5,230
99,2970.0,right,1433.0,694.0,2.0,1432,693,3,3,228
99,2970.0,middle,1009.84,437.45,78.0,1003,427,16,19,231
100,3000.0,middle,1010.0,438.67,6.0,1008,437,5,4,231
103,3090.0,right,1474.84,565.6,43.0,1473,556,5,22,232
103,3090.0,right,1471.0,360.5,4.0,1470,359,3,4,233
103,3090.0,right,1465.96,342.17,351.5,1458,311,15,70,234
103,3090.0,right,1428.0,101.0,6.0,1426,100,5,3,235
103,3090.0,right,1426.0,57.0,2.0,1425,56,3,3,237
103,3090.0,right,1418.0,49.0,2.0,1417,48,3,3,239
104,3120.0,right,1466.3,351.8,170.0,1462,337,10,36,240
104,3120.0,right,1465.0,323.32,110.5,1458,311,13,25,241
104,3120.0,right,1474.79,561.71,17.0,1473,557,4,12,232
104,3120.0,right,1475.0,573.33,6.0,1474,570,3,7,242
105,3150.0,right,1466.18,348.33,106.0,1462,337,10,27,240
105,3150.0,right,1466.88,332.67,16.0,1464,330,7,6,243
105,3150.0,right,1465.68,324.05,13.5,1463,321,6,7,241
105,3150.0,right,1463.19,317.0,7.0,1462,315,4,5,244
105,3150.0,right,1420.0,55.0,2.0,1419,54,3,3,245
109,3270.0,right,1382.0,452.5,4.0,1381,451,3,4,249
117,3510.0,right,1495.46,419.42,111.5,1491,408,11,24,251
118,3540.0,right,1499.0,484.2,10.0,1498,481,3,8,253
118,3540.0,right,1499.0,477.0,2.0,1498,476,3,3,254
119,3570.0,right,1497.0,460.0,10.0,1496,457,3,7,256
119,3570.0,right,1497.22,411.92,10.5,1494,409,7,7,257
119,3570.0,left,780.1,417.14,8.5,778,415,5,6,258
119,3570.0,left,784.3,603.3,5.5,783,602,4,4,260
119,3570.0,right,1498.0,468.5,8.0,1497,466,3,6,263
119,3570.0,right,1499.0,477.0,2.0,1498,476,3,3,254
119,3570.0,right,1499.0,484.0,6.0,1498,482,3,5,253
119,3570.0,left,777.75,482.23,9.5,776,480,5,6,265
119,3570.0,right,1392.0,825.0,2.0,1391,824,3,3,266
119,3570.0,right,1405.98,690.31,18.5,1402,687,9,7,267
119,3570.0,right,1422.93,673.45,43.0,1418,668,12,14,269
119,3570.0,right,1394.0,668.2,10.0,1391,667,7,4,270
119,3570.0,left,780.0,523.5,4.0,779,522,3,4,274
119,3570.0,left,784.0,610.0,2.0,783,609,3,3,275
120,3600.0,left,778.0,481.5,4.0,777,480,3,4,265
120,3600.0,right,1497.0,460.0,6.0,1496,458,3,5,256
120,3600.0,right,1498.0,469.0,2.0,1497,468,3,3,263
120,3600.0,left,786.5,511.0,4.0,785,510,4,3,278
120,3600.0,left,780.0,523.0,2.0,779,522,3,3,274
120,3600.0,right,1406.76,690.78,7.5,1405,689,5,4,267
120,3600.0,right,1420.49,678.24,7.5,1419,676,4,5,269
120,3600.0,right,1393.5,668.0,4.0,1392,667,4,3,270
120,3600.0,right,1421.0,579.0,2.0,1420,578,3,3,281
121,3630.0,left,740.3,257.3,5.5,739,256,4,4,285
121,3630.0,left,781.0,558.0,2.0,780,557,3,3,288
121,3630.0,left,786.5,511.0,4.0,785,510,4,3,278
122,3660.0,right,1354.0,15.0,2.0,1353,14,3,3,291
122,3660.0,left,741.0,257.0,2.0,740,256,3,3,285
122,3660.0,right,1375.19,31.0,7.0,1374,29,4,5,293
122,3660.0,right,1383.75,22.21,22.5,1380,17,7,11,294
122,3660.0,right,1431.63,412.16,248.5,1421,381,24,66,295
122,3660.0,right,1392.0,925.5,13.0,1390,923,5,6,296
122,3660.0,right,1432.72,693.83,16.5,1430,691,6,7,297
122,3660.0,right,1403.57,412.69,37.0,1398,410,13,6,301
122,3660.0,left,781.0,558.0,2.0,780,557,3,3,288
122,3660.0,right,1404.5,429.5,4.0,1403,428,4,4,303
123,3690.0,right,1424.86,384.73,11.0,1422,382,7,7,304
123,3690.0,right,1424.78,397.73,54.5,1421,390,8,17,305
123,3690.0,right,1383.79,22.14,14.0,1381,18,6,9,294
123,3690.0,right,1428.49,413.62,21.0,1427,408,4,14,295
123,3690.0,right,1408.0,525.0,2.0,1407,524,3,3,307
123,3690.0,right,1406.66,668.19,16.5,1404,666,6,6,308
123,3690.0,right,1432.63,693.78,8.5,1431,692,4,5,297
123,3690.0,right,1392.0,926.0,6.0,1391,924,3,5,296
124,3720.0,right,1424.82,399.0,15.0,1423,395,5,9,305
124,3720.0,right,1374.98,43.04,16.5,1373,40,5,8,309
124,3720.0,right,1436.0,420.0,2.0,1435,419,3,3,310
124,3720.0,right,1406.37,667.63,10.0,1404,666,5,5,308
130,3900.0,middle,1043.0,766.0,6.0,1041,765,5,3,311
131,3930.0,middle,1043.5,766.0,4.0,1042,765,4,3,311
136,4080.0,left,764.72,441.21,13.5,763,438,5,7,315
136,4080.0,left,756.0,283.5,11.0,754,281,5,6,316
