frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h,track_id
130,3900.0,middle,1040.61,585.3,27.5,1038,582,6,8,2
130,3900.0,middle,1011.15,418.97,415.0,998,398,21,54,3
130,3900.0,middle,996.16,230.13,396.0,986,207,19,39,4
131,3930.0,middle,1040.39,585.39,23.0,1038,582,6,8,2
131,3930.0,middle,1010.89,420.11,302.5,1002,399,17,52,3
131,3930.0,middle,995.88,229.21,287.5,987,207,17,38,4
132,3960.0,middle,1009.63,418.93,170.5,1003,399,15,47,3
132,3960.0,middle,994.85,228.45,159.0,989,208,12,36,4
132,3960.0,middle,1039.72,584.5,10.0,1038,582,4,6,2
133,3990.0,middle,996.86,223.0,14.0,995,219,4,9,4
133,3990.0,middle,1012.0,426.0,2.0,1011,425,3,3,3
133,3990.0,middle,1011.0,421.0,6.0,1010,419,3,5,5
133,3990.0,middle,1005.85,409.43,21.5,1003,407,7,7,6
133,3990.0,middle,1004.0,400.0,2.0,1003,399,3,3,7
133,3990.0,middle,992.59,235.14,29.0,990,230,7,13,8
133,3990.0,middle,997.0,215.0,2.0,996,214,3,3,9
138,4140.0,middle,1026.5,73.5,15.0,1024,71,6,6,10
138,4140.0,middle,1036.98,155.24,17.5,1034,152,8,8,11
139,4170.0,middle,1026.15,73.75,12.5,1024,71,5,6,10
139,4170.0,middle,1036.5,155.5,8.0,1034,153,6,6,11
140,4200.0,middle,1037.0,155.0,6.0,1035,153,5,5,11
150,4500.0,middle,1010.26,660.36,33.5,1007,657,8,9,14
150,4500.0,left,682.75,602.18,71.5,680,591,6,24,15
150,4500.0,middle,989.91,573.18,329.5,972,565,39,21,16
151,4530.0,middle,991.15,573.13,243.0,979,566,31,20,16
151,4530.0,middle,975.7,569.01,15.5,973,567,6,5,17
151,4530.0,left,682.99,602.62,72.0,680,591,6,24,15
151,4530.0,middle,1010.45,660.0,27.5,1007,657,8,8,14
152,4560.0,middle,990.6,567.43,24.5,986,566,11,5,16
152,4560.0,middle,975.7,568.7,5.5,974,567,4,4,17
152,4560.0,middle,1004.5,569.0,12.0,1001,567,8,5,19
152,4560.0,middle,981.5,574.0,4.0,980,573,4,3,20
152,4560.0,middle,989.4,576.4,63.5,981,571,20,14,21
152,4560.0,left,682.58,605.92,12.0,681,603,4,7,15
152,4560.0,middle,1010.02,659.52,16.5,1007,657,7,7,14
152,4560.0,left,682.24,598.08,12.0,681,595,4,7,22
153,4590.0,middle,988.5,568.0,4.0,987,567,4,3,16
158,4740.0,middle,958.43,682.85,105.0,952,671,13,21,23
158,4740.0,left,705.81,628.25,116.5,701,618,10,23,24
159,4770.0,middle,959.26,683.95,74.0,953,675,11,17,23
159,4770.0,left,705.91,628.15,97.0,702,619,9,21,24
159,4770.0,middle,953.0,672.0,2.0,952,671,3,3,25
160,4800.0,middle,959.33,683.47,41.0,955,677,9,14,23
160,4800.0,left,706.23,625.16,45.5,703,620,7,13,24
162,4860.0,middle,1014.49,630.95,92.0,1010,621,12,19,26
162,4860.0,right,1340.84,725.91,20.5,1338,724,7,5,27
163,4890.0,right,1355.0,733.0,2.0,1354,732,3,3,28
163,4890.0,right,1340.8,725.88,15.5,1338,724,6,5,27
163,4890.0,middle,1014.0,630.53,73.5,1010,621,10,18,26
164,4920.0,right,1340.85,725.85,12.5,1339,724,5,5,27
164,4920.0,middle,1013.64,630.65,40.5,1011,622,8,15,26
165,4950.0,right,1354.3,732.7,5.5,1353,731,4,4,29
165,4950.0,middle,1013.3,634.3,5.5,1012,633,4,4,26
165,4950.0,middle,1013.0,626.5,4.0,1012,625,3,4,30
166,4980.0,right,1354.5,733.0,4.0,1353,732,4,3,29
166,4980.0,middle,1067.03,578.16,213.0,1062,561,11,36,31
166,4980.0,middle,1063.5,171.0,4.0,1062,170,4,3,32
167,5010.0,middle,1066.63,578.38,173.5,1062,561,10,34,31
168,5040.0,middle,1066.41,579.52,123.0,1062,568,9,26,31
169,5070.0,middle,1064.37,573.22,8.5,1063,571,4,5,31
188,5640.0,middle,984.0,203.85,10.0,982,202,5,5,34
188,5640.0,middle,987.69,538.38,130.5,981,530,14,18,35
189,5670.0,middle,987.26,539.11,119.5,982,530,13,21,35
189,5670.0,middle,983.5,204.0,4.0,982,203,4,3,34
190,5700.0,middle,989.47,533.81,22.0,985,531,8,7,35
190,5700.0,middle,983.31,546.12,16.0,982,542,4,9,36
190,5700.0,middle,984.0,539.0,2.0,983,538,3,3,37
195,5850.0,right,1350.5,731.0,4.0,1349,730,4,3,38
196,5880.0,right,1350.5,731.0,4.0,1349,730,4,3,38
197,5910.0,right,1350.5,731.0,4.0,1349,730,4,3,38
198,5940.0,right,1350.5,731.0,4.0,1349,730,4,3,38
199,5970.0,right,1350.0,731.0,2.0,1349,730,3,3,38
