"file","channel","temp_C","sal","umol_g_hr","ml_mg_hr","uL_mg_hr","start_hour","end_hour","microbial_cutoff_hour"
"/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-newbox-13Nov.csv","Ch2",27.189,33,-9.90516148450573,-0.000244428537399095,-0.244428537399095,3,8,5
"/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-newbox-13Nov.csv","Ch3",27.189,33,-24.0983085938594,-0.000594671205775199,-0.594671205775199,3,8,5
"/Users/oakley/Documents/GitHub/signal_respirometry/data/original_respirometry_Panama2025/Ostracods-trial4-newbox-13Nov.csv","Ch4",27.189,33,-27.4755788538466,-0.000678011717824541,-0.678011717824541,3,8,5
