video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
34,1.134467,all,1641.94,126.44,34.00,1638,124,9,6
35,1.167833,all,870.65,355.68,13.50,869,353,4,7
35,1.167833,all,1054.68,258.00,81.50,1046,255,17,7
35,1.167833,all,1641.94,126.44,34.00,1638,124,9,6
36,1.201200,all,870.65,355.68,13.50,869,353,4,7
36,1.201200,all,1054.67,258.03,82.50,1046,255,17,7
36,1.201200,all,1642.00,126.50,33.00,1638,124,9,6
37,1.234567,all,870.65,355.68,13.50,869,353,4,7
37,1.234567,all,1054.67,258.03,82.50,1046,255,17,7
37,1.234567,all,1642.00,126.50,33.00,1638,124,9,6
38,1.267933,all,870.65,355.68,13.50,869,353,4,7
38,1.267933,all,1054.79,258.07,84.00,1046,255,17,7
38,1.267933,all,1642.00,126.50,33.00,1638,124,9,6
39,1.301300,all,870.65,355.68,13.50,869,353,4,7
39,1.301300,all,1054.79,258.07,84.00,1046,255,17,7
39,1.301300,all,1642.00,126.50,33.00,1638,124,9,6
40,1.334667,all,870.65,355.68,13.50,869,353,4,7
40,1.334667,all,1054.81,258.09,84.00,1047,255,16,7
40,1.334667,all,1641.94,126.44,34.00,1638,124,9,6
41,1.368033,all,870.65,355.68,13.50,869,353,4,7
41,1.368033,all,1054.81,258.09,84.00,1047,255,16,7
41,1.368033,all,1642.06,126.56,34.00,1638,124,9,6
42,1.401400,all,870.65,355.68,13.50,869,353,4,7
42,1.401400,all,1054.81,258.09,84.00,1047,255,16,7
42,1.401400,all,1642.06,126.56,34.00,1638,124,9,6
43,1.434767,all,870.65,355.68,13.50,869,353,4,7
43,1.434767,all,1054.81,258.09,84.00,1047,255,16,7
43,1.434767,all,1642.06,126.56,34.00,1638,124,9,6
44,1.468133,all,870.65,355.68,13.50,869,353,4,7
44,1.468133,all,1054.81,258.09,84.00,1047,255,16,7
44,1.468133,all,1642.06,126.56,34.00,1638,124,9,6
45,1.501500,all,870.65,355.68,13.50,869,353,4,7
45,1.501500,all,1054.81,258.09,84.00,1047,255,16,7
45,1.501500,all,1642.06,126.56,34.00,1638,124,9,6
46,1.534867,all,870.65,355.68,13.50,869,353,4,7
46,1.534867,all,1054.71,258.10,85.00,1046,255,17,7
46,1.534867,all,1642.06,126.56,34.00,1638,124,9,6
47,1.568233,all,870.65,355.68,13.50,869,353,4,7
47,1.568233,all,1054.71,258.10,85.00,1046,255,17,7
47,1.568233,all,1642.21,126.59,32.50,1638,124,9,6
48,1.601600,all,1445.51,844.23,148.00,1440,829,11,28
48,1.601600,all,783.50,613.50,10.00,781,612,6,4
48,1.601600,all,789.07,549.14,7.00,787,546,5,8
48,1.601600,all,798.06,456.24,35.50,796,450,8,16
48,1.601600,all,1393.97,454.17,72.00,1390,444,8,23
48,1.601600,all,870.65,355.68,13.50,869,353,4,7
48,1.601600,all,1054.71,258.10,85.00,1046,255,17,7
48,1.601600,all,784.76,247.68,19.00,783,243,5,11
48,1.601600,all,1642.21,126.59,32.50,1638,124,9,6
48,1.601600,all,1339.41,23.34,34.50,1336,20,8,8
49,1.634967,all,1452.00,860.00,10.00,1451,857,3,7
49,1.634967,all,1444.63,849.87,31.00,1442,846,6,9
49,1.634967,all,1474.79,647.21,59.00,1470,640,11,17
49,1.634967,all,1386.00,420.00,6.00,1385,418,3,5
49,1.634967,all,870.65,355.68,13.50,869,353,4,7
49,1.634967,all,1054.71,258.10,85.00,1046,255,17,7
49,1.634967,all,1642.21,126.59,32.50,1638,124,9,6
50,1.668333,all,870.65,355.68,13.50,869,353,4,7
50,1.668333,all,1054.71,258.10,85.00,1046,255,17,7
50,1.668333,all,1642.21,126.59,32.50,1638,124,9,6
51,1.701700,all,870.65,355.68,13.50,869,353,4,7
51,1.701700,all,1054.71,258.10,85.00,1046,255,17,7
51,1.701700,all,1642.21,126.59,32.50,1638,124,9,6
52,1.735067,all,870.65,355.68,13.50,869,353,4,7
52,1.735067,all,1054.77,258.13,84.00,1046,255,17,7
52,1.735067,all,1642.21,126.59,32.50,1638,124,9,6
53,1.768433,all,870.65,355.68,13.50,869,353,4,7
53,1.768433,all,1054.77,258.13,84.00,1046,255,17,7
53,1.768433,all,1642.21,126.59,32.50,1638,124,9,6
54,1.801800,all,1426.91,686.44,181.50,1413,680,33,14
54,1.801800,all,870.65,355.68,13.50,869,353,4,7
54,1.801800,all,1055.03,258.13,87.00,1046,255,18,7
54,1.801800,all,1421.86,137.71,80.00,1411,133,20,11
54,1.801800,all,1642.21,126.59,32.50,1638,124,9,6
55,1.835167,all,1442.56,686.87,15.00,1440,683,6,9
55,1.835167,all,1418.54,684.81,190.00,1405,679,31,15
55,1.835167,all,1430.18,621.81,16.00,1429,618,4,9
