video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010067_2025Nov12.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
89,2670.0,left,777.0,303.0,17.0,775,300,5,7
89,2670.0,left,776.71,335.0,33.0,775,329,5,12
89,2670.0,left,777.17,343.78,9.0,775,342,5,5
90,2700.0,right,1229.64,46.0,22.0,1226,44,8,5
90,2700.0,left,776.98,302.78,15.5,775,300,5,7
90,2700.0,left,776.91,337.5,51.5,775,330,5,16
90,2700.0,left,786.58,527.46,26.5,785,521,4,15
90,2700.0,left,791.67,644.0,6.0,790,642,4,5
91,2730.0,left,792.0,644.5,4.0,791,643,3,4
91,2730.0,left,777.0,344.0,2.0,776,343,3,3
91,2730.0,left,776.97,335.76,23.5,775,331,5,10
91,2730.0,left,776.63,303.22,8.5,775,301,4,5
91,2730.0,right,1229.57,45.93,21.0,1226,44,8,5
92,2760.0,left,792.0,645.0,2.0,791,644,3,3
93,2790.0,middle,943.07,665.43,21.0,941,660,5,12
93,2790.0,middle,943.0,617.5,8.0,942,615,3,6
93,2790.0,middle,942.0,602.5,8.0,941,600,3,6
93,2790.0,middle,936.3,560.6,248.5,925,537,18,62
94,2820.0,middle,942.0,602.5,4.0,941,601,3,4
94,2820.0,middle,936.25,559.65,214.0,926,537,17,61
94,2820.0,middle,954.46,672.43,806.0,943,635,26,72
94,2820.0,middle,942.57,663.18,37.5,940,655,6,17
94,2820.0,middle,952.22,710.24,7.5,951,708,4,5
94,2820.0,middle,958.48,393.15,438.5,949,372,19,52
95,2850.0,middle,956.14,382.67,45.0,953,375,7,17
95,2850.0,middle,963.0,374.0,2.0,962,373,3,3
95,2850.0,middle,956.31,445.83,61.5,952,437,11,19
95,2850.0,middle,934.18,549.27,95.0,927,537,13,31
95,2850.0,left,837.16,561.91,65.5,832,548,9,29
95,2850.0,middle,939.0,572.0,10.0,938,569,3,7
95,2850.0,middle,954.1,669.59,653.0,944,635,24,71
95,2850.0,middle,943.0,665.0,2.0,942,664,3,3
95,2850.0,middle,957.08,401.71,177.0,950,386,16,34
96,2880.0,middle,951.3,408.3,5.5,950,407,4,4
96,2880.0,middle,978.83,186.85,28.5,975,184,9,7
96,2880.0,middle,956.88,380.09,11.0,955,377,4,7
96,2880.0,middle,951.19,418.0,7.0,950,416,4,5
96,2880.0,middle,957.06,402.16,115.0,951,389,13,31
96,2880.0,middle,960.66,527.97,172.0,957,514,10,34
96,2880.0,middle,938.23,671.62,34.5,934,667,10,12
96,2880.0,middle,957.61,677.21,981.0,943,635,34,71
96,2880.0,left,811.98,599.97,37.0,810,591,5,18
96,2880.0,left,806.5,568.5,13.0,805,566,4,6
96,2880.0,middle,951.08,466.0,727.0,944,422,19,90
96,2880.0,middle,935.0,554.0,2.0,934,553,3,3
96,2880.0,left,836.17,555.17,24.0,833,549,7,13
96,2880.0,middle,931.5,540.75,8.0,929,538,6,7
96,2880.0,left,838.37,569.07,15.0,837,565,4,9
97,2910.0,middle,978.75,186.91,18.5,975,184,8,6
97,2910.0,middle,954.97,399.33,28.5,952,396,7,7
97,2910.0,middle,951.21,466.55,604.5,944,437,18,68
97,2910.0,middle,950.27,431.38,13.0,949,428,4,8
97,2910.0,left,836.5,556.0,5.0,835,554,4,5
97,2910.0,left,838.0,567.0,2.0,837,566,3,3
97,2910.0,left,806.5,569.0,10.0,805,567,4,5
97,2910.0,left,812.03,598.59,17.0,810,592,5,13
97,2910.0,middle,959.17,680.5,628.0,948,645,28,59
97,2910.0,middle,938.42,670.7,22.0,935,667,8,10
97,2910.0,middle,949.0,507.5,4.0,948,506,3,4
97,2910.0,middle,960.8,526.84,140.5,957,514,10,31
98,2940.0,middle,950.44,467.78,380.0,944,437,15,61
98,2940.0,middle,978.23,187.13,14.5,975,185,7,5
98,2940.0,middle,960.86,524.48,95.5,958,515,8,23
98,2940.0,left,806.0,569.5,4.0,805,568,3,4
98,2940.0,left,812.0,599.0,6.0,811,597,3,5
98,2940.0,middle,939.33,669.0,6.0,938,667,4,5
98,2940.0,middle,963.73,679.76,153.5,957,669,17,20
98,2940.0,middle,967.38,693.15,29.5,962,690,11,7
98,2940.0,middle,960.0,692.0,2.0,959,691,3,3
98,2940.0,middle,958.0,451.5,4.0,957,450,3,4
99,2970.0,middle,949.72,443.43,23.0,948,437,5,14
99,2970.0,middle,948.45,479.47,55.0,946,471,6,19
99,2970.0,middle,963.41,680.84,71.0,958,675,12,12
100,3000.0,middle,1012.17,130.03,795.5,996,99,30,56
100,3000.0,middle,971.8,700.64,63.0,966,695,13,13
100,3000.0,middle,909.82,247.32,122.0,904,240,12,17
100,3000.0,middle,926.79,567.84,253.0,920,548,16,47
100,3000.0,middle,934.5,701.0,4.0,933,700,4,3
100,3000.0,middle,1028.4,227.35,26.5,1026,224,6,8
101,3030.0,middle,993.89,193.9,62.5,989,188,10,14
101,3030.0,middle,1011.62,129.59,680.0,997,101,29,54
101,3030.0,middle,1021.78,146.22,8.5,1020,144,5,5
101,3030.0,middle,909.93,246.59,91.0,905,240,11,14
101,3030.0,middle,1001.66,336.5,215.5,993,317,20,37
101,3030.0,middle,984.47,417.39,67.0,980,412,9,13
101,3030.0,left,786.09,477.17,141.5,782,460,8,41
101,3030.0,middle,926.16,569.41,198.0,921,548,15,47
101,3030.0,middle,990.83,599.8,89.5,984,594,15,13
101,3030.0,middle,992.79,622.66,19.5,990,619,6,8
101,3030.0,left,774.0,641.5,4.0,773,640,3,4
101,3030.0,left,776.92,651.38,20.0,774,649,8,6
101,3030.0,middle,997.89,664.41,18.5,996,662,6,7
101,3030.0,middle,971.11,700.22,46.0,966,696,10,11
102,3060.0,middle,1001.47,336.32,184.5,993,317,20,37
102,3060.0,middle,909.79,245.24,44.5,907,241,8,11
102,3060.0,middle,993.75,194.14,53.0,989,188,10,13
102,3060.0,middle,1013.3,128.98,459.5,998,105,27,49
102,3060.0,middle,981.0,415.72,103.5,970,411,19,13
102,3060.0,left,785.93,476.87,111.5,782,460,8,37
102,3060.0,left,810.63,493.22,40.5,807,489,8,9
102,3060.0,left,787.0,499.0,2.0,786,498,3,3
102,3060.0,middle,997.7,664.55,17.0,996,662,5,7
102,3060.0,left,823.3,659.44,28.5,821,656,7,8
102,3060.0,left,776.74,651.33,16.5,774,649,7,5
102,3060.0,middle,993.79,626.95,37.0,990,620,7,16
