video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX01007X_2025Nov14.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
57,1710.000000,all,1825.00,33.00,2.00,1824,32,3,3
57,1710.000000,all,1623.00,32.50,4.00,1622,31,3,4
57,1710.000000,all,1733.13,6.68,270.50,1717,0,33,14
58,1740.000000,all,1825.00,33.00,2.00,1824,32,3,3
58,1740.000000,all,1623.00,32.50,4.00,1622,31,3,4
58,1740.000000,all,1733.18,6.67,271.50,1717,0,33,14
59,1770.000000,all,1825.00,33.00,2.00,1824,32,3,3
59,1770.000000,all,1623.00,32.50,4.00,1622,31,3,4
59,1770.000000,all,1733.15,6.71,273.50,1717,0,33,15
60,1800.000000,all,1825.00,33.00,2.00,1824,32,3,3
60,1800.000000,all,1623.00,32.50,4.00,1622,31,3,4
60,1800.000000,all,1733.11,6.78,279.00,1717,0,33,15
61,1830.000000,all,863.77,666.47,49.00,858,660,12,12
61,1830.000000,all,858.88,581.90,21.00,856,577,6,11
61,1830.000000,all,865.82,557.88,19.00,863,555,7,6
61,1830.000000,all,854.61,448.33,9.00,853,445,4,7
61,1830.000000,all,856.74,428.60,62.00,852,421,10,17
61,1830.000000,all,930.63,252.51,81.00,918,247,28,11
61,1830.000000,all,1825.00,33.00,2.00,1824,32,3,3
61,1830.000000,all,1623.00,32.50,4.00,1622,31,3,4
61,1830.000000,all,1733.12,6.78,278.00,1717,0,33,15
62,1860.000000,all,862.55,664.91,47.00,858,657,12,15
62,1860.000000,all,858.67,582.50,12.00,857,579,4,8
62,1860.000000,all,865.84,557.60,15.00,863,555,6,6
62,1860.000000,all,849.35,557.65,26.00,848,551,4,14
62,1860.000000,all,854.07,430.68,90.50,847,421,15,19
62,1860.000000,all,930.51,252.46,70.00,918,247,27,11
62,1860.000000,all,1825.00,33.00,2.00,1824,32,3,3
62,1860.000000,all,1623.00,32.50,4.00,1622,31,3,4
62,1860.000000,all,1733.36,6.66,277.50,1717,0,33,14
