video,width,height,scale,fps
/Users/oakley/Documents/GitHub/signal_respirometry/video/GX010063_2025Nov10.MP4,3840,2160,0.5,29.97002997002997

frame,time_s,region,cx,cy,area,bbox_x,bbox_y,bbox_w,bbox_h
0,0.000000,all,870.25,356.62,39.50,867,352,7,12
0,0.000000,all,1056.54,257.97,38.50,1051,255,12,6
0,0.000000,all,1634.27,127.86,121.50,1622,123,23,10
1,30.000000,all,870.57,357.90,68.50,867,351,7,18
1,30.000000,all,868.64,341.64,18.50,866,339,6,6
1,30.000000,all,1051.31,258.52,149.50,1035,254,29,10
1,30.000000,all,1598.50,135.00,4.00,1597,134,4,3
1,30.000000,all,1634.61,128.15,251.50,1612,122,47,13
1,30.000000,all,1689.30,121.30,5.50,1688,120,4,4
2,60.000000,all,870.52,357.72,65.50,867,351,7,17
2,60.000000,all,868.60,341.84,15.00,866,339,6,6
2,60.000000,all,1052.18,258.29,146.50,1038,254,26,9
2,60.000000,all,1634.60,128.20,235.50,1612,122,47,13
2,60.000000,all,1689.00,121.00,2.00,1688,120,3,3
3,90.000000,all,870.56,357.92,69.50,867,351,8,18
3,90.000000,all,869.00,342.50,10.00,867,341,5,4
3,90.000000,all,1052.25,258.28,153.50,1038,254,26,9
3,90.000000,all,1635.53,127.99,215.00,1613,122,45,12
4,120.000000,all,870.61,358.30,65.00,867,352,7,17
4,120.000000,all,869.22,342.63,8.50,867,341,5,4
4,120.000000,all,1052.01,258.32,162.00,1038,253,26,11
4,120.000000,all,1636.55,127.64,184.00,1614,123,41,11
5,150.000000,all,870.63,358.31,68.50,867,351,7,18
5,150.000000,all,869.24,342.78,7.50,867,341,5,4
5,150.000000,all,1052.22,258.17,165.50,1038,253,26,10
5,150.000000,all,1636.81,127.58,178.00,1617,123,38,10
6,180.000000,all,870.67,358.24,69.50,867,351,8,18
6,180.000000,all,868.50,343.00,8.00,866,342,6,3
6,180.000000,all,1052.40,258.00,170.50,1038,253,26,10
6,180.000000,all,1637.42,127.41,166.00,1619,122,35,11
7,210.000000,all,870.67,358.24,69.50,867,351,8,18
7,210.000000,all,868.50,343.00,8.00,866,342,6,3
7,210.000000,all,1052.33,258.03,173.50,1038,253,26,11
7,210.000000,all,1638.66,127.07,152.00,1623,122,31,11
8,240.000000,all,870.69,358.21,71.50,867,352,8,17
8,240.000000,all,868.50,343.00,8.00,866,342,6,3
8,240.000000,all,1052.33,258.03,173.50,1038,253,26,11
8,240.000000,all,1638.85,127.10,150.50,1624,122,29,11
9,270.000000,all,870.69,358.21,71.50,867,352,8,17
9,270.000000,all,868.50,343.00,8.00,866,342,6,3
9,270.000000,all,1052.36,258.03,175.50,1038,253,26,11
9,270.000000,all,1639.43,126.87,144.50,1626,122,27,10
10,300.000000,all,870.69,358.21,71.50,867,352,8,17
10,300.000000,all,868.50,343.00,8.00,866,342,6,3
10,300.000000,all,1052.41,258.00,176.50,1038,253,26,11
10,300.000000,all,1639.65,126.89,140.50,1626,122,27,10
11,330.000000,all,870.69,358.21,71.50,867,352,8,17
11,330.000000,all,868.50,343.00,8.00,866,342,6,3
11,330.000000,all,1052.41,258.00,176.50,1038,253,26,11
11,330.000000,all,1640.14,126.88,134.00,1628,122,25,10
12,360.000000,all,870.73,358.22,70.50,867,352,8,17
12,360.000000,all,868.50,343.00,8.00,866,342,6,3
12,360.000000,all,1052.52,257.98,175.00,1039,253,25,11
12,360.000000,all,1640.00,126.92,135.50,1627,122,26,10
13,390.000000,all,870.75,358.54,75.50,867,352,8,18
13,390.000000,all,868.50,343.00,8.00,866,342,6,3
13,390.000000,all,1052.52,257.98,175.00,1039,253,25,11
13,390.000000,all,1640.27,126.86,132.50,1628,122,25,10
14,420.000000,all,870.75,358.54,75.50,867,352,8,18
14,420.000000,all,868.50,343.00,8.00,866,342,6,3
14,420.000000,all,1052.51,257.99,175.50,1039,253,25,11
14,420.000000,all,1640.27,126.89,133.50,1628,122,25,10
15,450.000000,all,870.75,358.54,75.50,867,352,8,18
15,450.000000,all,868.50,343.00,8.00,866,342,6,3
15,450.000000,all,1052.57,257.97,174.50,1039,253,25,11
15,450.000000,all,1640.38,126.90,131.50,1628,122,25,10
16,480.000000,all,870.75,358.54,75.50,867,352,8,18
16,480.000000,all,868.56,342.85,9.00,866,341,6,4
16,480.000000,all,1052.65,257.99,176.00,1039,253,25,11
16,480.000000,all,1640.18,126.94,129.00,1628,122,24,10
17,510.000000,all,870.76,358.44,74.50,867,352,8,18
17,510.000000,all,868.56,342.85,9.00,866,341,6,4
17,510.000000,all,1052.65,257.99,176.00,1039,253,25,11
17,510.000000,all,1640.15,126.95,127.00,1628,122,24,10
18,540.000000,all,870.76,358.44,74.50,867,352,8,18
18,540.000000,all,868.56,342.85,9.00,866,341,6,4
18,540.000000,all,1052.65,257.99,176.00,1039,253,25,11
18,540.000000,all,1640.15,126.98,128.00,1628,122,24,10
19,570.000000,all,870.76,358.44,74.50,867,352,8,18
19,570.000000,all,868.50,343.00,8.00,866,342,6,3
19,570.000000,all,1052.65,257.99,176.00,1039,253,25,11
19,570.000000,all,1640.24,126.94,128.00,1628,122,24,10
20,600.000000,all,870.87,358.42,73.50,867,352,8,18
20,600.000000,all,868.50,343.00,8.00,866,342,6,3
20,600.000000,all,1052.65,257.99,176.00,1039,253,25,11
20,600.000000,all,1640.24,126.94,128.00,1628,122,24,10
21,630.000000,all,870.87,358.42,73.50,867,352,8,18
21,630.000000,all,868.50,343.00,8.00,866,342,6,3
21,630.000000,all,1052.71,257.97,175.00,1039,253,25,10
21,630.000000,all,1640.24,126.94,128.00,1628,122,24,10
22,660.000000,all,870.84,358.15,71.50,867,352,8,17
22,660.000000,all,868.50,343.00,8.00,866,342,6,3
22,660.000000,all,1052.71,257.97,175.00,1039,253,25,10
22,660.000000,all,1640.24,126.94,128.00,1628,122,24,10
23,690.000000,all,870.84,358.15,71.50,867,352,8,17
23,690.000000,all,868.50,343.00,8.00,866,342,6,3
23,690.000000,all,1052.71,257.97,175.00,1039,253,25,10
23,690.000000,all,1640.31,126.92,130.00,1628,122,24,10
24,720.000000,all,870.95,358.19,74.50,867,352,8,17
24,720.000000,all,869.50,343.00,8.00,867,342,6,3
24,720.000000,all,1052.83,257.94,173.50,1040,253,24,10
24,720.000000,all,1640.15,127.07,123.50,1628,122,23,10
25,750.000000,all,870.95,358.19,74.50,867,352,8,17
25,750.000000,all,869.50,343.00,8.00,867,342,6,3
25,750.000000,all,1053.01,257.94,176.50,1040,253,25,10
25,750.000000,all,1640.15,127.07,123.50,1628,122,23,10
