trial,brick,channel,unit,vessel,environment,start_hour,end_hour,n_points,control_mean,control_slope_per_hour,channel_slope_per_hour,diff_mean,diff_min,diff_max,diff_slope_per_hour,source_csv,source_control_csv,RMR_corrected,abs_diff_mean,signal_to_background_ratio,diff_to_control_slope_ratio,flag_ratio_low,flag_crosses_zero,flag_negative_corrected_rmr,flag_weak_diff_slope,qc_exclude,qc_recommendation,qc_reason
trial6.5,box3,Ch4,trial6.5 | box3 | Ch4,small,night,1.0,8.0,7,193.89269537606668,-3.861705479416298,-6.58504542085559,-33.19085714285715,-34.21000000000001,-31.839,-5.190409493723618,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/box3-trial6-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,2.18250944481723,33.19085714285715,0.1711815758624134,1.3440718149132604,False,False,False,False,False,include,none
trial6.5,newbox,Ch2,trial6.5 | newbox | Ch2,small,night,1.0,8.0,5039,193.89269537606668,-3.861705479416298,-14.668375720453994,-21.22997201825759,-59.903999999999996,11.276999999999987,-10.80667024103767,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,3.22205642144101,21.22997201825759,0.10949340807796434,2.798419065317403,False,True,False,False,False,include,channel_minus_control_crosses_0
trial6.5,newbox,Ch3,trial6.5 | newbox | Ch3,small,night,1.0,8.0,5039,193.89269537606668,-3.861705479416298,-8.993757022360837,-31.63734987100616,-51.336,-18.382000000000005,-5.132051542944534,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,1.42490657201483,31.63734987100616,0.16316937473833362,1.3289598517987682,False,False,False,False,False,include,none
trial6.5,newbox,Ch4,trial6.5 | newbox | Ch4,small,night,1.0,8.0,5039,193.89269537606668,-3.861705479416298,-11.379439717924033,-42.3281470529867,-68.919,-19.037000000000006,-7.517734238507718,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial6-dark.csv,2.02119850839629,42.3281470529867,0.21830707428493054,1.946739407402269,False,False,False,False,False,include,none
trial7,newbox,Ch2,trial7 | newbox | Ch2,small,day,1.0,8.0,5040,195.6966005952381,-5.445511541667101,-12.625413922629628,-23.43570119047619,-47.234999999999985,8.501999999999981,-7.179902380962514,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-light.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-light.csv,2.09602208268526,23.43570119047619,0.11975527995414091,1.3184991574631653,False,True,False,False,False,include,channel_minus_control_crosses_0
trial7,newbox,Ch3,trial7 | newbox | Ch3,small,day,1.0,8.0,5040,195.6966005952381,-5.445511541667101,-8.843501292794306,-21.026195436507937,-29.531000000000006,-7.251000000000005,-3.397989751127175,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-light.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-light.csv,1.10840467912689,21.026195436507937,0.1074428241085764,0.6239982643509205,False,False,False,False,False,include,none
trial7,newbox,Ch4,trial7 | newbox | Ch4,small,day,1.0,8.0,5040,195.6966005952381,-5.445511541667101,-8.42498561256611,-30.0152751984127,-41.25,-11.955000000000013,-2.9794740708989855,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-light.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-light.csv,1.14703840900962,30.0152751984127,0.15337657939363147,0.5471431008003519,False,False,False,False,False,include,none
trial7.5,newbox,Ch2,trial7.5 | newbox | Ch2,small,night,1.0,8.0,5040,198.10274087301588,-4.532157778032815,-18.726819122676027,-69.57043452380952,-110.66900000000001,-19.638000000000005,-14.194661344643231,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-dark.csv,3.96786699933942,69.57043452380952,0.3511836041079971,3.1319874630826385,False,False,False,False,False,include,none
trial7.5,newbox,Ch3,trial7.5 | newbox | Ch3,small,night,1.0,8.0,5040,198.10274087301588,-4.532157778032815,-15.347691701658782,-48.34117658730159,-72.60199999999999,3.634999999999991,-10.815533923625965,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-dark.csv,2.79813005208638,48.34117658730159,0.244020735775909,2.386398367166744,False,True,False,False,False,include,channel_minus_control_crosses_0
trial7.5,newbox,Ch4,trial7.5 | newbox | Ch4,small,night,1.0,8.0,5040,198.10274087301588,-4.532157778032815,-12.979306713952464,-54.69248888888888,-73.124,-17.533999999999992,-8.44714893591964,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-dark.csv,/Users/oakley/Documents/GitHub/signal_respirometry/data/csvs-and-code-jan2026/newpyro-trial7-dark.csv,2.62696225271267,54.69248888888888,0.27608143455052325,1.8638249919274223,False,False,False,False,False,include,none
