seconds,hours,Ch2,Ch3,Ch4,Temp
0,0,177.89,183.24,182.88,26.091
5,0.001388889,177.85,183.19,182.78,26.088
10,0.002777778,177.8,183.13,182.63,26.085
15,0.004166667,177.79,183.09,182.47,26.082
20,0.005555556,177.77,183.03,182.33,26.077
25,0.006944444,177.78,183.01,182.18,26.072
30,0.008333333,177.74,182.96,182.04,26.071
35,0.009722222,177.69,182.95,181.91,26.072
40,0.011111111,177.66,182.91,181.8,26.07
45,0.0125,177.62,182.88,181.67,26.07
50,0.013888889,177.59,182.83,181.53,26.07
55,0.015277778,177.56,182.79,181.41,26.071
60,0.016666667,177.54,182.75,181.3,26.069
65,0.018055556,177.52,182.74,181.19,26.067
70,0.019444444,177.51,182.74,181.07,26.065
75,0.020833333,177.48,182.69,180.95,26.067
80,0.022222222,177.42,182.65,180.81,26.072
85,0.023611111,177.35,182.6,180.69,26.075
90,0.025,177.32,182.58,180.57,26.076
95,0.026388889,177.33,182.56,180.47,26.074
100,0.027777778,177.3,182.53,180.35,26.075
105,0.029166667,177.28,182.52,180.24,26.076
110,0.030555556,177.23,182.48,180.12,26.079
115,0.031944444,177.19,182.44,180,26.084
120,0.033333333,177.11,182.38,179.88,26.087
125,0.034722222,177.07,182.35,179.81,26.087
130,0.036111111,177.05,182.31,179.73,26.087
135,0.0375,177.05,182.3,179.67,26.084
140,0.038888889,177.04,182.31,179.59,26.081
145,0.040277778,177.03,182.33,179.49,26.077
150,0.041666667,177,182.34,179.41,26.078
155,0.043055556,176.96,182.31,179.34,26.077
160,0.044444444,176.92,182.31,179.32,26.077
165,0.045833333,176.91,182.28,179.28,26.075
170,0.047222222,176.9,182.29,179.24,26.074
175,0.048611111,176.87,182.25,179.18,26.076
180,0.05,176.86,182.22,179.12,26.075
185,0.051388889,176.82,182.19,179.05,26.077
190,0.052777778,176.8,182.18,179.01,26.076
195,0.054166667,176.75,182.19,178.94,26.076
200,0.055555556,176.73,182.19,178.89,26.076
205,0.056944444,176.7,182.18,178.81,26.074
210,0.058333333,176.7,182.16,178.78,26.073
215,0.059722222,176.69,182.11,178.76,26.072
220,0.061111111,176.67,182.09,178.73,26.07
225,0.0625,176.65,182.07,178.68,26.07
230,0.063888889,176.62,182.09,178.64,26.07
235,0.065277778,176.61,182.06,178.59,26.072
240,0.066666667,176.59,182.05,178.56,26.072
245,0.068055556,176.59,182.05,178.52,26.073
250,0.069444444,176.58,182.05,178.48,26.074
255,0.070833333,176.57,182.02,178.42,26.075
260,0.072222222,176.54,181.99,178.36,26.076
265,0.073611111,176.53,181.99,178.33,26.075
270,0.075,176.54,182,178.31,26.073
275,0.076388889,176.53,181.97,178.27,26.073
280,0.077777778,176.53,181.97,178.23,26.072
285,0.079166667,176.51,181.95,178.18,26.073
290,0.080555556,176.52,181.96,178.16,26.071
295,0.081944444,176.52,181.96,178.15,26.069
300,0.083333333,176.5,181.96,178.11,26.068
305,0.084722222,176.49,181.95,178.08,26.067
310,0.086111111,176.47,181.92,178.05,26.067
315,0.0875,176.46,181.92,178.04,26.066
320,0.088888889,176.46,181.91,178.02,26.066
325,0.090277778,176.43,181.93,177.96,26.067
330,0.091666667,176.45,181.9,177.95,26.067
335,0.093055556,176.43,181.89,177.91,26.066
340,0.094444444,176.45,181.87,177.91,26.062
345,0.095833333,176.44,181.86,177.87,26.062
350,0.097222222,176.43,181.85,177.84,26.063
355,0.098611111,176.42,181.83,177.81,26.065
360,0.1,176.39,181.81,177.79,26.065
365,0.101388889,176.39,181.78,177.77,26.067
370,0.102777778,176.36,181.77,177.74,26.066
375,0.104166667,176.37,181.77,177.73,26.064
380,0.105555556,176.4,181.8,177.76,26.058
385,0.106944444,176.41,181.78,177.77,26.056
390,0.108333333,176.38,181.78,177.73,26.056
395,0.109722222,176.34,181.77,177.69,26.057
400,0.111111111,176.32,181.77,177.67,26.057
405,0.1125,176.34,181.75,177.65,26.055
410,0.113888889,176.35,181.69,177.65,26.056
415,0.115277778,176.35,181.69,177.65,26.053
420,0.116666667,176.32,181.71,177.66,26.054
425,0.118055556,176.31,181.7,177.64,26.053
430,0.119444444,176.3,181.65,177.62,26.056
435,0.120833333,176.31,181.63,177.59,26.055
440,0.122222222,176.29,181.63,177.58,26.055
445,0.123611111,176.29,181.66,177.57,26.054
450,0.125,176.29,181.65,177.56,26.055
455,0.126388889,176.27,181.63,177.54,26.055
460,0.127777778,176.25,181.61,177.52,26.057
465,0.129166667,176.25,181.59,177.53,26.056
470,0.130555556,176.26,181.55,177.54,26.057
475,0.131944444,176.24,181.54,177.51,26.057
480,0.133333333,176.21,181.52,177.49,26.058
485,0.134722222,176.2,181.53,177.45,26.057
490,0.136111111,176.21,181.5,177.43,26.057
495,0.1375,176.18,181.5,177.4,26.057
500,0.138888889,176.16,181.48,177.38,26.06
505,0.140277778,176.13,181.47,177.35,26.063
510,0.141666667,176.12,181.48,177.34,26.065
515,0.143055556,176.11,181.48,177.35,26.065
520,0.144444444,176.11,181.48,177.35,26.061
525,0.145833333,176.11,181.46,177.31,26.06
530,0.147222222,176.11,181.43,177.31,26.059
535,0.148611111,176.1,181.4,177.32,26.062
540,0.15,176.11,181.39,177.33,26.063
545,0.151388889,176.06,181.42,177.29,26.064
550,0.152777778,176.08,181.42,177.28,26.061
555,0.154166667,176.02,181.39,177.25,26.062
560,0.155555556,176.05,181.34,177.28,26.061
565,0.156944444,176.02,181.32,177.23,26.064
570,0.158333333,176.02,181.29,177.23,26.064
575,0.159722222,175.99,181.3,177.21,26.064
580,0.161111111,175.98,181.28,177.22,26.063
585,0.1625,176.01,181.28,177.24,26.062
590,0.163888889,176.03,181.27,177.26,26.059
595,0.165277778,176.03,181.28,177.25,26.059
600,0.166666667,176.01,181.28,177.21,26.058
605,0.168055556,175.97,181.26,177.2,26.059
610,0.169444444,175.98,181.24,177.2,26.058
615,0.170833333,175.96,181.23,177.19,26.058
620,0.172222222,175.98,181.24,177.18,26.058
625,0.173611111,175.97,181.21,177.2,26.058
630,0.175,175.96,181.24,177.24,26.055
635,0.176388889,175.98,181.22,177.22,26.052
640,0.177777778,175.97,181.24,177.2,26.05
645,0.179166667,175.99,181.21,177.2,26.05
650,0.180555556,175.96,181.19,177.24,26.051
655,0.181944444,175.94,181.19,177.23,26.053
660,0.183333333,175.9,181.15,177.19,26.055
665,0.184722222,175.89,181.13,177.15,26.055
670,0.186111111,175.89,181.11,177.14,26.055
675,0.1875,175.84,181.11,177.17,26.056
680,0.188888889,175.76,181.11,177.15,26.057
685,0.190277778,175.69,181.1,177.14,26.057
690,0.191666667,175.65,181.1,177.12,26.056
695,0.193055556,175.59,181.09,177.13,26.057
700,0.194444444,175.55,181.08,177.15,26.058
