dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
0.066,,,,200.42,26.749,1012.0,,,,,,,1.8333333333333333e-05,26.749,200.42,,,
0.185,,,,,,,195.735,26.749,1012.0,,,,5.138888888888889e-05,26.749,,195.735,,
0.288,,,,,,,,,,198.136,26.749,1012.0,7.999999999999999e-05,26.749,,,198.136,
0.394,196.896,26.75,1012.0,,,,,,,,,,0.0001094444444444,26.75,,,,196.896
10.065,,,,200.43,26.747,1012.0,,,,,,,0.0027958333333333,26.747,200.43,,,
10.138,,,,,,,195.548,26.747,1012.0,,,,0.0028161111111111,26.747,,195.548,,
10.213,,,,,,,,,,197.929,26.747,1012.0,0.0028369444444444,26.747,,,197.929,
10.29,196.874,26.747,1012.0,,,,,,,,,,0.0028583333333333,26.747,,,,196.874
100.069,,,,,,,195.302,26.757,1012.0,,,,0.0277969444444444,26.757,,195.302,,
100.142,196.698,26.757,1012.0,,,,,,,,,,0.0278172222222222,26.757,,,,196.698
100.218,,,,200.306,26.757,1012.0,,,,,,,0.0278383333333333,26.757,200.306,,,
100.292,,,,,,,,,,197.788,26.757,1012.0,0.0278588888888888,26.757,,,197.788,
1000.123,,,,,,,193.728,26.817,1012.0,,,,0.2778119444444444,26.817,,193.728,,
1000.201,195.358,26.817,1012.0,,,,,,,,,,0.2778336111111111,26.817,,,,195.358
1000.276,,,,199.991,26.819,1012.0,,,,,,,0.2778544444444444,26.819,199.991,,,
1000.35,,,,,,,,,,195.697,26.819,1012.0,0.277875,26.819,,,195.697,
10000.9,,,,,,,177.591,26.879,1014.0,,,,2.7780277777777775,26.879,,177.591,,
10000.974,,,,,,,,,,169.482,26.879,1014.0,2.7780483333333335,26.879,,,169.482,
10001.046,,,,194.925,26.88,1014.0,,,,,,,2.7780683333333336,26.88,194.925,,,
10001.122,177.64,26.88,1014.0,,,,,,,,,,2.7780894444444444,26.88,,,,177.64
10005.892,,,,,,,177.468,26.878,1014.0,,,,2.7794144444444444,26.878,,177.468,,
10005.967,,,,,,,,,,169.607,26.878,1014.0,2.779435277777778,26.878,,,169.607,
10006.041,,,,194.988,26.878,1014.0,,,,,,,2.779455833333333,26.878,194.988,,,
10006.115,177.692,26.879,1014.0,,,,,,,,,,2.779476388888889,26.879,,,,177.692
10010.894,,,,,,,177.648,26.877,1014.0,,,,2.780803888888889,26.877,,177.648,,
10010.966,,,,,,,,,,169.471,26.878,1014.0,2.780823888888889,26.878,,,169.471,
10011.036,,,,195.006,26.878,1014.0,,,,,,,2.7808433333333333,26.878,195.006,,,
10011.111,177.633,26.878,1014.0,,,,,,,,,,2.780864166666667,26.878,,,,177.633
10015.895,,,,,,,177.489,26.877,1014.0,,,,2.7821930555555556,26.877,,177.489,,
10015.97,,,,,,,,,,169.434,26.876,1014.0,2.7822138888888888,26.876,,,169.434,
10016.045,,,,194.927,26.876,1014.0,,,,,,,2.7822347222222223,26.876,194.927,,,
10016.119,177.722,26.876,1014.0,,,,,,,,,,2.782255277777778,26.876,,,,177.722
10020.893,,,,,,,177.52,26.877,1014.0,,,,2.783581388888889,26.877,,177.52,,
10020.968,,,,,,,,,,169.475,26.877,1014.0,2.7836022222222225,26.877,,,169.475,
10021.039,,,,194.868,26.877,1014.0,,,,,,,2.783621944444445,26.877,194.868,,,
10021.112,177.701,26.877,1014.0,,,,,,,,,,2.783642222222222,26.877,,,,177.701
