dt_s,oxygen_umolL_Ch4,temp_C_Ch4,pressure_mbar_Ch4,oxygen_umolL_Ch1,temp_C_Ch1,pressure_mbar_Ch1,oxygen_umolL_Ch2,temp_C_Ch2,pressure_mbar_Ch2,oxygen_umolL_Ch3,temp_C_Ch3,pressure_mbar_Ch3,hours,Temp,Ch1,Ch2,Ch3,Ch4
10000.216,,,,,,,,,,206.997,25.566,1014.0,2.777837777777778,25.566,,,206.997,
10003.047,,,,,,,199.95,25.562,1014.0,,,,2.778624166666667,25.562,,199.95,,
10003.33,,,,241.004,25.563,1014.0,,,,,,,2.7787027777777777,25.563,241.004,,,
10004.747,185.218,25.564,1014.0,,,,,,,,,,2.7790963888888887,25.564,,,,185.218
10005.216,,,,,,,,,,207.056,25.562,1014.0,2.7792266666666667,25.562,,,207.056,
10008.049,,,,,,,199.879,25.565,1014.0,,,,2.7800136111111113,25.565,,199.879,,
10008.329,,,,240.991,25.565,1014.0,,,,,,,2.7800913888888887,25.565,240.991,,,
10009.747,185.09,25.566,1014.0,,,,,,,,,,2.7804852777777778,25.566,,,,185.09
10010.217,,,,,,,,,,207.084,25.564,1014.0,2.7806158333333335,25.564,,,207.084,
10013.049,,,,,,,199.774,25.564,1014.0,,,,2.7814025000000004,25.564,,199.774,,
10013.33,,,,241.222,25.565,1014.0,,,,,,,2.7814805555555555,25.565,241.222,,,
10014.749,184.999,25.564,1014.0,,,,,,,,,,2.781874722222222,25.564,,,,184.999
10015.219,,,,,,,,,,207.084,25.564,1014.0,2.7820052777777775,25.564,,,207.084,
10018.049,,,,,,,199.913,25.569,1014.0,,,,2.782791388888889,25.569,,199.913,,
10018.33,,,,240.927,25.568,1014.0,,,,,,,2.7828694444444446,25.568,240.927,,,
10019.75,184.811,25.568,1014.0,,,,,,,,,,2.783263888888889,25.568,,,,184.811
1002.315,,,,,,,218.842,25.457,1014.0,,,,0.2784208333333333,25.457,,218.842,,
1002.578,,,,242.105,25.457,1014.0,,,,,,,0.2784938888888889,25.457,242.105,,,
10020.218,,,,,,,,,,206.948,25.568,1014.0,2.783393888888889,25.568,,,206.948,
10023.049,,,,,,,199.929,25.566,1014.0,,,,2.784180277777778,25.566,,199.929,,
10023.331,,,,241.077,25.566,1014.0,,,,,,,2.784258611111111,25.566,241.077,,,
10024.751,184.691,25.565,1014.0,,,,,,,,,,2.784653055555556,25.565,,,,184.691
10025.219,,,,,,,,,,207.169,25.566,1014.0,2.7847830555555553,25.566,,,207.169,
10028.051,,,,,,,199.934,25.565,1014.0,,,,2.785569722222222,25.565,,199.934,,
10028.332,,,,241.083,25.565,1014.0,,,,,,,2.7856477777777777,25.565,241.083,,,
10029.751,184.567,25.563,1014.0,,,,,,,,,,2.7860419444444444,25.563,,,,184.567
