sconds,hours,Ch1,Ch3,Ch4,Temp
665,0.184722222,194.71,191.94,193.99,26.954
670,0.186111111,194.74,191.94,193.98,26.956
675,0.1875,194.7,191.91,193.96,26.955
680,0.188888889,194.7,191.9,193.97,26.957
685,0.190277778,194.67,191.89,193.96,26.955
690,0.191666667,194.71,191.9,193.97,26.953
695,0.193055556,194.68,191.88,193.97,26.953
700,0.194444444,194.67,191.87,193.99,26.954
705,0.195833333,194.64,191.86,193.97,26.957
710,0.197222222,194.65,191.87,193.99,26.956
715,0.198611111,194.66,191.87,193.98,26.955
720,0.2,194.67,191.84,193.97,26.955
725,0.201388889,194.7,191.84,193.96,26.953
730,0.202777778,194.7,191.8,193.97,26.953
735,0.204166667,194.74,191.82,193.98,26.948
740,0.205555556,194.76,191.81,194,26.945
745,0.206944444,194.76,191.83,194.01,26.942
750,0.208333333,194.78,191.82,194.02,26.941
755,0.209722222,194.78,191.81,194.03,26.941
760,0.211111111,194.8,191.8,194.06,26.938
765,0.2125,194.79,191.8,194.07,26.937
770,0.213888889,194.83,191.81,194.09,26.935
775,0.215277778,194.82,191.8,194.06,26.936
780,0.216666667,194.85,191.78,194.07,26.935
785,0.218055556,194.87,191.74,194.06,26.934
790,0.219444444,194.89,191.73,194.09,26.931
795,0.220833333,194.91,191.72,194.09,26.931
800,0.222222222,194.89,191.7,194.07,26.933
805,0.223611111,194.88,191.67,194.07,26.936
810,0.225,194.85,191.62,194.09,26.937
815,0.226388889,194.83,191.6,194.09,26.937
820,0.227777778,194.86,191.58,194.06,26.937
825,0.229166667,194.84,191.58,194.04,26.938
830,0.230555556,194.85,191.57,194.03,26.938
835,0.231944444,194.8,191.54,194.03,26.94
840,0.233333333,194.82,191.5,194,26.942
845,0.234722222,194.82,191.46,193.99,26.947
850,0.236111111,194.83,191.43,193.97,26.951
855,0.2375,194.79,191.39,193.97,26.955
860,0.238888889,194.75,191.4,193.95,26.955
865,0.240277778,194.76,191.4,193.94,26.953
870,0.241666667,194.79,191.39,193.95,26.952
875,0.243055556,194.83,191.37,193.95,26.95
880,0.244444444,194.82,191.35,193.98,26.948
885,0.245833333,194.82,191.36,193.97,26.947
890,0.247222222,194.81,191.34,193.99,26.946
895,0.248611111,194.83,191.35,193.98,26.944
900,0.25,194.8,191.34,193.98,26.942
905,0.251388889,194.81,191.36,193.97,26.941
910,0.252777778,194.79,191.37,193.95,26.941
915,0.254166667,194.8,191.39,193.96,26.94
920,0.255555556,194.79,191.38,193.93,26.942
925,0.256944444,194.81,191.36,193.94,26.942
930,0.258333333,194.83,191.38,193.92,26.941
935,0.259722222,194.87,191.41,193.95,26.938
940,0.261111111,194.81,191.41,193.95,26.938
945,0.2625,194.77,191.39,193.96,26.938
950,0.263888889,194.77,191.38,193.96,26.939
955,0.265277778,194.85,191.38,193.95,26.937
960,0.266666667,194.88,191.39,193.95,26.933
965,0.268055556,194.88,191.38,193.93,26.933
970,0.269444444,194.82,191.39,193.92,26.932
975,0.270833333,194.82,191.39,193.92,26.932
980,0.272222222,194.81,191.39,193.93,26.931
985,0.273611111,194.81,191.39,193.94,26.931
990,0.275,194.85,191.41,193.94,26.928
995,0.276388889,194.83,191.4,193.94,26.927
1000,0.277777778,194.82,191.41,193.91,26.929
1005,0.279166667,194.79,191.37,193.88,26.935
1010,0.280555556,194.79,191.37,193.84,26.938
1015,0.281944444,194.81,191.36,193.83,26.942
1020,0.283333333,194.75,191.35,193.83,26.943
1025,0.284722222,194.72,191.33,193.85,26.942
1030,0.286111111,194.7,191.32,193.85,26.941
1035,0.2875,194.72,191.35,193.86,26.938
1040,0.288888889,194.72,191.39,193.87,26.934
1045,0.290277778,194.74,191.39,193.88,26.932
1050,0.291666667,194.78,191.41,193.88,26.931
1055,0.293055556,194.82,191.42,193.88,26.931
1060,0.294444444,194.78,191.43,193.91,26.929
1065,0.295833333,194.77,191.42,193.95,26.927
1070,0.297222222,194.74,191.41,193.96,26.929
1075,0.298611111,194.77,191.42,193.98,26.929
1080,0.3,194.75,191.45,193.96,26.928
1085,0.301388889,194.74,191.47,193.96,26.926
1090,0.302777778,194.71,191.45,193.94,26.927
1095,0.304166667,194.72,191.41,193.95,26.93
1100,0.305555556,194.7,191.39,193.95,26.932
1105,0.306944444,194.7,191.39,193.96,26.932
1110,0.308333333,194.66,191.36,193.97,26.934
1115,0.309722222,194.62,191.33,193.95,26.939
1120,0.311111111,194.58,191.31,193.93,26.942
1125,0.3125,194.59,191.31,193.91,26.942
1130,0.313888889,194.63,191.33,193.92,26.941
1135,0.315277778,194.61,191.34,193.94,26.941
1140,0.316666667,194.57,191.33,193.91,26.943
1145,0.318055556,194.54,191.31,193.9,26.946
1150,0.319444444,194.55,191.28,193.86,26.951
1155,0.320833333,194.51,191.27,193.85,26.952
1160,0.322222222,194.53,191.28,193.86,26.95
1165,0.323611111,194.51,191.3,193.89,26.945
1170,0.325,194.59,191.33,193.91,26.943
1175,0.326388889,194.58,191.34,193.91,26.939
1180,0.327777778,194.6,191.33,193.9,26.939
1185,0.329166667,194.55,191.32,193.9,26.936
1190,0.330555556,194.56,191.33,193.89,26.935
1195,0.331944444,194.55,191.34,193.92,26.929
1200,0.333333333,194.58,191.36,193.93,26.925
1205,0.334722222,194.6,191.38,193.93,26.923
1210,0.336111111,194.58,191.37,193.91,26.923
1215,0.3375,194.59,191.37,193.9,26.922
1220,0.338888889,194.56,191.36,193.89,26.919
1225,0.340277778,194.58,191.36,193.85,26.92
1230,0.341666667,194.57,191.34,193.85,26.92
1235,0.343055556,194.54,191.34,193.82,26.92
1240,0.344444444,194.52,191.36,193.82,26.92
1245,0.345833333,194.5,191.37,193.8,26.921
1250,0.347222222,194.49,191.38,193.81,26.921
1255,0.348611111,194.48,191.35,193.81,26.92
1260,0.35,194.49,191.37,193.8,26.918
1265,0.351388889,194.49,191.34,193.76,26.918
1270,0.352777778,194.47,191.35,193.74,26.918
1275,0.354166667,194.5,191.34,193.71,26.92
1280,0.355555556,194.52,191.36,193.71,26.918
1285,0.356944444,194.57,191.38,193.7,26.917
1290,0.358333333,194.51,191.35,193.67,26.917
1295,0.359722222,194.47,191.36,193.65,26.918
1300,0.361111111,194.39,191.34,193.61,26.922
1305,0.3625,194.41,191.36,193.62,26.921
1310,0.363888889,194.41,191.33,193.6,26.922
1315,0.365277778,194.46,191.34,193.59,26.919
1320,0.366666667,194.45,191.32,193.57,26.919
1325,0.368055556,194.47,191.35,193.54,26.918
1330,0.369444444,194.45,191.36,193.55,26.915
1335,0.370833333,194.41,191.36,193.56,26.914
1340,0.372222222,194.41,191.35,193.56,26.914
1345,0.373611111,194.4,191.37,193.54,26.917
1350,0.375,194.41,191.39,193.53,26.916
1355,0.376388889,194.41,191.37,193.5,26.92
1360,0.377777778,194.41,191.34,193.49,26.922
1365,0.379166667,194.39,191.33,193.46,26.927
1370,0.380555556,194.37,191.34,193.44,26.929
1375,0.381944444,194.31,191.31,193.38,26.935
1380,0.383333333,194.29,191.27,193.34,26.939
1385,0.384722222,194.27,191.24,193.32,26.941
1390,0.386111111,194.3,191.26,193.31,26.939
1395,0.3875,194.28,191.25,193.27,26.938
1400,0.388888889,194.23,191.24,193.27,26.938
1405,0.390277778,194.19,191.23,193.26,26.939
1410,0.391666667,194.23,191.22,193.28,26.938
1415,0.393055556,194.24,191.23,193.26,26.94
1420,0.394444444,194.25,191.22,193.25,26.94
1425,0.395833333,194.2,191.25,193.25,26.941
1430,0.397222222,194.2,191.27,193.26,26.937
1435,0.398611111,194.22,191.28,193.28,26.934
1440,0.4,194.27,191.27,193.3,26.93
1445,0.401388889,194.25,191.3,193.3,26.928
1450,0.402777778,194.23,191.34,193.31,26.924
1455,0.404166667,194.22,191.36,193.3,26.919
1460,0.405555556,194.24,191.37,193.33,26.914
1465,0.406944444,194.3,191.37,193.34,26.912
1470,0.408333333,194.32,191.41,193.36,26.91
1475,0.409722222,194.31,191.4,193.35,26.909
1480,0.411111111,194.28,191.43,193.35,26.906
1485,0.4125,194.28,191.42,193.35,26.906
1490,0.413888889,194.26,191.42,193.35,26.908
1495,0.415277778,194.26,191.43,193.33,26.908
1500,0.416666667,194.24,191.45,193.34,26.908
1505,0.418055556,194.28,191.45,193.36,26.906
1510,0.419444444,194.27,191.41,193.37,26.906
1515,0.420833333,194.28,191.38,193.36,26.908
1520,0.422222222,194.25,191.37,193.33,26.913
